,Author,Text
0,a,"lay where I had left her, looking very white.""I can't find Boris nor any of the servants,"" I said.""I know,"" she answered faintly, ""Boris has gone to Ept with Mr. Scott. I did not remember when I sent you for him just now.""""But he can't get back in that case before to-morrow afternoon, and—are you hurt? Did I frighten you into falling? What an awful fool I am, but I was only half awake.""""Boris thought you had gone home before dinner. Do please excuse us for letting you stay here all this time.""""I have had a long nap,"" I laughed, ""so sound that I did not know whether I was still asleep or not when I found myself staring at a figure that was moving toward me, and called out your name. Have you been trying the old spinet? You must have played very softly.""I would tell a thousand more"
1,a,"the extreme purity of everything occupied him—began to trouble him. As his eye became accustomed to the light, other objects grew from the surroundings and took their places in the circle of lamplight. There was a piano and a coal-scuttle and a little iron trunk and a bath-tub. Then there was a row of wooden pegs against the door, with a white chintz curtain covering the clothes underneath. On the bed lay an umbrella and a big straw hat, and on the table, a music-roll unfurled, an ink-stand, and sheets of ruled paper. Behind him stood a wardrobe faced with a mirror, but somehow he did not care to see his own face just then. He was sobering.The girl sat looking at him without a word. Her face was expressionless, yet the lips at times trembled almost imperceptibly. Her eyes, so wonderfully blue in the daylight, seemed dark and soft"
2,a,"northern terrace, and then sat down on the marble seat until a hand on his shoulder and a glimmer of bayonets warned him away.She passed on through the grove, and turning into the rue de Medici, traversed it to the Boulevard. At the corner she bought a bunch of violets and walked on along the Boulevard to the rue des Écoles. A cab was drawn up before Boulant's, and a pretty girl aided by Elliott jumped out.""Valentine!"" cried the girl, ""come with us!""""I can't,"" she said, stopping a moment—""I have a rendezvous at Mignon's.""""Not Victor?"" cried the girl, laughing, but she passed with a little shiver, nodding good-night, then turning into the Boulevard St. Germain, she walked a tittle faster to escape a gay party sitting before the Café Cluny who called to her to join them. At the door of the Restaurant Mignon stood a coal-black negro in buttons."
3,a,"watched him go down the stairs and hurry away, his sabre banging at every stride. He turned into Bleecker Street, and I knew he was going to see Constance. I gave him ten minutes to disappear and then followed in his footsteps, taking with me the jewelled crown and the silken robe embroidered with the Yellow Sign. When I turned into Bleecker Street, and entered the doorway which bore the sign—I saw old Hawberk moving about in his shop, and imagined I heard Constance's voice in the parlour; but I avoided them both and hurried up the trembling stairways to Mr. Wilde's apartment. I knocked and entered without ceremony. Mr. Wilde lay groaning on the floor, his face covered with blood, his clothes torn to shreds. Drops of blood were scattered about over the carpet, which had also been ripped and frayed in the evidently recent struggle.""It's that cursed cat,"""
4,a,"reputation, and the sums he had amassed were startling.""I put on the screws now and then,"" he explained.""One day or other some of these people will assassinate you,"" I insisted.""Do you think so?"" he said, rubbing his mutilated ears.It was useless to argue with him, so I took down the manuscript entitled Imperial Dynasty of America, for the last time I should ever take it down in Mr. Wilde's study. I read it through, thrilling and trembling with pleasure. When I had finished Mr. Wilde took the manuscript and, turning to the dark passage which leads from his study to his bed-chamber, called out in a loud voice, ""Vance."" Then for the first time, I noticed a man crouching there in the shadow. How I had overlooked him during my search for the cat, I cannot imagine.""Vance, come in,"" cried Mr. Wilde.The figure rose and crept towards us, and I"
5,a,"too good comrades,—too old friends for that? And were we not,—do you think that I do not know your history, Monsieur Clifford?""""Don't be—don't be so sarcastic,"" he urged; ""don't be unkind, Valentine.""""I'm not. I'm kind. I'm very kind,—to you and to Cécile.""""Cécile is tired of me.""""I hope she is,"" said the girl, ""for she deserves a better fate. Tiens, do you know your reputation in the Quarter? Of the inconstant, the most inconstant,—utterly incorrigible and no more serious than a gnat on a summer night. Poor Cécile!""Clifford looked so uncomfortable that she spoke more kindly.""I like you. You know that. Everybody does. You are a spoiled child here. Everything is permitted you and every one makes allowance, but every one cannot be a victim to caprice.""""Caprice!"" he cried. ""By Jove, if the girls of the Latin Quarter are not capricious—""""Never mind,—never mind about that! You must not sit in judgment—you"
6,a,"from his cares, but I hated to see the life go out of a warm, living creature and I declined to be present. Picking up a book at random, I sat down in the studio to read. Alas! I had found The King in Yellow. After a few moments, which seemed ages, I was putting it away with a nervous shudder, when Boris and Jack came in bringing their marble rabbit. At the same time the bell rang above, and a cry came from the sick-room. Boris was gone like a flash, and the next moment he called, ""Jack, run for the doctor; bring him back with you. Alec, come here.""I went and stood at her door. A frightened maid came out in haste and ran away to fetch some remedy. Geneviève, sitting bolt upright, with crimson cheeks and glittering eyes, babbled incessantly and resisted Boris' gentle restraint. He called"
7,a,"on that point although I knew how hard it would be. I remembered the usual termination of Platonic liaisons, and thought how disgusted I had been whenever I heard of one. I knew I was undertaking a great deal for so unscrupulous a man as I was, and I dreamed the future, but never for one moment did I doubt that she was safe with me. Had it been anybody but Tessie I should not have bothered my head about scruples. For it did not occur to me to sacrifice Tessie as I would have sacrificed a woman of the world. I looked the future squarely in the face and saw the several probable endings to the affair. She would either tire of the whole thing, or become so unhappy that I should have either to marry her or go away. If I married her we would be unhappy. I"
8,a,"sors, and a mué is a hawk which has moulted in captivity. When we catch a wild falcon which has changed its plumage we term it a hagard. Raoul first taught me to dress a falcon. Shall I teach you how it is done?""She seated herself on the bank of the stream among the falcons and I threw myself at her feet to listen.Then the Demoiselle d'Ys held up one rosy-tipped finger and began very gravely.""First one must catch the falcon.""""I am caught,"" I answered.She laughed very prettily and told me my dressage would perhaps be difficult, as I was noble.""I am already tamed,"" I replied; ""jessed and belled.""She laughed, delighted. ""Oh, my brave falcon; then you will return at my call?""""I am yours,"" I answered gravely.She sat silent for a moment. Then the colour heightened in her cheeks and she held up her finger again, saying, ""Listen; I wish"
9,a,"street, from holes and crannies in the ruins fierce women fled from their work of pillage, cursing him.At first he could not find his house, for the tears blinded him, but he felt along the wall and reached the door. A lantern burned in the concierge's lodge and the old man lay dead beside it. Faint with fright he leaned a moment on his rifle, then, snatching the lantern, sprang up the stairs. He tried to call, but his tongue hardly moved. On the second floor he saw plaster on the stairway, and on the third the floor was torn and the concierge lay in a pool of blood across the landing. The next floor was his, theirs. The door hung from its hinges, the walls gaped. He crept in and sank down by the bed, and there two arms were flung around his neck, and a tear-stained face sought"
